date,crude_pct_change,crude_lag_2m_pct,gas_pct_change,commodity_pct_change,housing_pct_change,dollar_pct_change,crude_vol_3m,resin_acceleration,crude_acceleration,is_covid,is_post_covid_surge,is_construction_season,is_2026_shock,chem_prod_pct_change
2000-11-01,3.956508607671405,8.381317978246972,9.960159362549792,-0.2954209748892267,0.129115558424786,0.2111654449470146,0.6583565396753965,-0.1565706779105835,6.229235880398687,0,0,0,0,-0.1547719076873233
2000-12-01,-17.373619988378852,-2.272727272727282,39.57722152690853,0.8888888888888724,-1.2250161186331376,0.2111654449470146,3.143389889911849,0.2696992599783954,-21.33012859605026,0,0,0,0,-0.7498223721759012
2001-01-01,4.043600562587901,3.956508607671405,-8.202247191011235,2.7900146842878115,4.438642297650142,0.2111654449470146,3.1731109866081537,1.4448577023745246,21.417220550966757,0,0,0,0,-0.6322620899953946
2001-02-01,0.067590402162887,-17.373619988378852,-31.223174214606278,-1.8571428571428568,1.5625,0.2111654449470146,0.6698009654616656,0.7243680476788139,-3.976010160425014,0,0,0,0,0.0530483616028254
2001-03-01,-7.970280310705846,4.043600562587901,-6.773618538324422,-1.091703056768556,-2.15384615384615,0.2111654449470146,1.3568099842400114,0.4190035810401671,-8.037870712868733,0,0,1,0,-0.4843629653165093
2001-04-01,0.8807339449541152,0.067590402162887,-0.7648183556405397,0.3679175864606421,3.710691823899381,0.2111654449470146,1.29881997726143,-1.1539308991918462,8.851014255659962,0,0,1,0,-0.8963406015208619
2001-05-01,4.1469625318297565,-7.970280310705846,-19.267822736030823,0.2932551319648091,-2.66828380836871,0.2111654449470146,0.737292343646704,-1.763050059158744,3.2662285868756413,0,0,1,0,-0.4288844714896433
2001-06-01,-3.597624869018501,0.8807339449541152,-11.217183770883054,-0.9502923976608236,1.9314641744548224,0.2111654449470146,0.6288349014911486,-0.2345881811280814,-7.744587400848257,0,0,1,0,-1.2604414900916685
2001-07-01,-4.239130434782612,4.1469625318297565,-16.3978494623656,-1.5498154981549828,2.078239608801957,0.2111654449470146,1.1007421738687877,-0.1728290140798116,-0.6415055657641111,0,0,1,0,0.8216345851450368
2001-08-01,3.556564510026483,-3.597624869018501,-4.501607717041789,0.0,-6.167664670658679,0.2111654449470146,0.6198655768256428,-0.9958708450243492,7.795694944809095,0,0,1,0,1.5030936279013307
2001-09-01,-4.274753379612717,-4.239130434782612,-26.262626262626267,-0.0749625187406288,-0.319081046585834,0.2111654449470146,0.6198655768256411,-0.6145344933628172,-7.8313178896392,0,0,0,0,0.7802687471189618
2001-10-01,-15.381679389312964,3.556564510026483,12.328767123287676,-2.2505626406601698,-1.4084507042253502,0.2111654449470146,2.7279357274931115,4.610231103188001,-11.106926009700247,0,0,0,0,1.6213435422662847
2001-11-01,-11.411817771763644,-4.274753379612717,-4.878048780487809,-0.3837298541826572,4.025974025974022,0.2111654449470146,3.308458855721199,-2.507984785265238,3.96986161754932,0,0,0,0,0.0621425231993821
2001-12-01,-1.2729124236252498,-15.381679389312964,-1.7094017094017144,-1.3097072419106404,-2.122347066167296,0.2111654449470146,1.537953185243302,-0.8076819362202614,10.138905348138394,0,0,0,0,0.0011608211261782
2002-01-01,1.7019082001031416,-11.411817771763644,0.8695652173912993,0.3122560499609683,8.290816326530614,0.2111654449470146,0.1721433511157001,0.5992066679672003,2.9748206237283914,0,0,0,0,2.8935657335787144
